product_name,store,percentage_change,category,price
Sensodyne T/Paste 75Ml Rapid Action Whitening,bluemart,-4.166666667,Toiletries,36.0
Colgate Plax Freshmint 250Ml,bluemart,-6.711111111,Toiletries,22.5
Dettol Handwash Original 200Ml,bluemart,-10.0,Toiletries,17.5
Lifebouy Handwash Total10 200Ml,bluemart,-3.227888961,Toiletries,15.49
Dove Shamp Colour Care (Dlx) 12X400Ml,bluemart,-11.14814815,Toiletries,27.0
Dove Shampoo Thickening Ritual 400 Ml,bluemart,-12.53125,Toiletries,32.0
Dettol Hand Sanitizer 50 Ml (Original),bluemart,-14.73333333,Toiletries,15.0
Fine Toilet Roll Xl 10S,bluemart,16.61111111,Household Supplies,18.0
Ariel Green 260g,bluemart,-9.819639279,Household Supplies,4.99
7Days Croissant Chocolate 55G,bluemart,-11.11111111,Baked goods,2.25
7Days Croissant Strawberry 55G,bluemart,-22.22222222,Baked goods,2.25
7Days Croissant Vanilla 55G,bluemart,-11.11111111,Baked goods,2.25
7Days Jumbo Croissant Hazelnu&Cocoa 100G,bluemart,-6.25,Baked goods,4.0
Lusine Brown Sandwich Bread 600 Gm,bluemart,-16.15384615,Baked goods,6.5
Lusine Milk Bread 600Gm,bluemart,3.47129506,Baked goods,7.49
Lusine Multi Grain Sliced Bread 600 Gm,bluemart,15.78231293,Baked goods,7.35
Lusine Soft White Slice Bread 620 Gm,bluemart,-8.862876254,Baked goods,5.98
Kellogg's Honey Smacks 375g  ,lulu,-11.32332879,Cereals and bars,14.75
Kellogg's Corn Flakes 500g ,lulu,-3.243243243,Cereals and bars,10.95
Kelloggs Frosties 230g  ,lulu,-10.9375,Cereals and bars,9.15
Kellogg'S Coco Pops 375Gm ,lulu,-22.91666667,Cereals and bars,16.75
Alpro Drink Coconut Original 1L,lulu,-4.504094631,Drinks and Juices,14.5
Alpro Soya Original Drink 1Lt,lulu,-0.058823529410000006,Drinks and Juices,12.5
Alpro Drink Almond Unsweetened 1Lt,lulu,-4.590909091,Drinks and Juices,14.25
Lacnor Apple Juice 1 Ltr,lulu,-3.8461538460000004,Drinks and Juices,5.0
Nescafe Classic 3 In 1 20G ,lulu,0.0,Tea and Coffee,29.95
Nescafe Gold Jar 200 Gm,lulu,-16.12772838,Tea and Coffee,38.95
